Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0201_0603Metric,131.1,-102.48,90.0,top
C10,100n,C_0201_0603Metric,123.6,-101.2,90.0,top
C11,100n,C_0201_0603Metric,131.3,-102.5,90.0,bottom
C12,100n,C_0201_0603Metric,127.0,-116.78,90.0,top
C2,100n,C_0201_0603Metric,130.25,-102.67,90.0,top
C3,100n,C_0201_0603Metric,129.9,-112.1,-90.0,top
C4,100n,C_0201_0603Metric,121.6,-111.1,180.0,top
C5,100n,C_0201_0603Metric,127.0,-118.5,-90.0,top
C6,100n,C_0201_0603Metric,129.325,-97.4,180.0,top
C7,1u,C_0201_0603Metric,131.28,-94.1,180.0,top
C8,1u,C_0201_0603Metric,127.2,-92.4,90.0,top
C9,100n,C_0201_0603Metric,127.8,-97.4,180.0,top
D1,RB531SM-30T2R,D_SOD-523,131.155,-96.5,90.0,top
J5,USB_B_Micro,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,126.245,-123.485,0.0,top
U1,STM32G474CETx,LQFP-48_7x7mm_P0.5mm,126.2,-107.4,180.0,top
U2,SN74ALVC164245DGG,TSSOP-48_6.1x12.5mm_P0.5mm,126.2125,-106.05,90.0,bottom
U3,TXU0104RUTR,QFN_04RUTR_TEX,128.98,-95.4,180.0,top
U4,MIC5317-3.3xM5,SOT-23-5,129.8,-91.8,90.0,top
U5,FXMA108,WQFN-20-1EP_2.5x4.5mm_P0.5mm_EP1x2.9mm,123.45,-117.9,-90.0,top
