Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C2, C3, C4, C5, C6, C9",0201,10,100n,
"C7, C8",0201,2,1u,
D1,D_SOD-523,1,RB531SM-30T2R,
"J1, J2",PinHeader_1x14_P2.54mm_Vertical,2,Conn_01x14,
"J3, J4",Pin,2,Pin,
J5,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,1,USB_B_Micro,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32G474CETx,
U2,TSSOP-48_6.1x12.5mm_P0.5mm,1,SN74ALVC164245DGG,
U3,QFN_04RUTR_TEX,1,TXU0104RUTR,
U4,SOT-23-5,1,MIC5317-3.3xM5,
U5,WQFN-20-1EP_2.5x4.5mm_P0.5mm_EP1x2.9mm,1,FXMA108,
