Designator,Mid X,Mid Y,Rotation,Layer
C1,131.1,-102.48,90.0,top
C10,123.6,-101.2,90.0,top
C11,131.3,-102.5,90.0,bottom
C12,127.0,-116.78,90.0,top
C2,130.25,-102.67,90.0,top
C3,129.9,-112.1,270.0,top
C4,121.6,-111.1,180.0,top
C5,127.0,-118.5,270.0,top
C6,129.325,-97.4,180.0,top
C7,131.28,-94.1,180.0,top
C8,127.2,-92.4,90.0,top
C9,127.8,-97.4,180.0,top
D1,131.155,-96.5,90.0,top
J1,118.6,-108.11,0.0,top
J2,133.84,-108.11,0.0,top
J3,130.8,-116.4,0.0,top
J4,130.8,-118.6,0.0,top
J5,126.245,-123.485,0.0,top
J6,122.615,-93.98,270.0,top
JP1,126.05,-100.5,0.0,top
U1,126.2,-107.4,180.0,top
U2,126.2125,-106.05,90.0,bottom
U3,128.98,-95.4,180.0,top
U4,129.8,-91.8,0.0,top
U5,123.45,-117.9,270.0,top
